* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 05-13-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 01-25-2022
* Calibration Pure Dye CY5 is expired = No
* Calibration Pure Dye CY5 performed on = 01-25-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 01-25-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 01-25-2022
* Calibration Pure Dye MUSTANG PURPLE is expired = No
* Calibration Pure Dye MUSTANG PURPLE performed on = 01-25-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 01-25-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 01-25-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 01-25-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 01-25-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 01-25-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 01-25-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 01-25-2022
* Chemistry = OTHER
* Date Created = 2023-03-02 18:19:31 PM CET
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Synology\CL_Synology\Medulloblastoma\Genotyping\Genotyping\IDT\Genotyping_V146_IDT_qPCR-new_09Feb23\2023-02-09_Genotyping_v146.eds
* Experiment Name = EpiGe_TEMPLATE_QS5_V2
* Experiment Run End Time = 2023-02-09 11:09:13 AM CET
* Experiment Type = Genotyping
* Instrument Name =       272526216
* Instrument Serial Number = 272526216
* Instrument Type = QuantStudio™ 5 System
* Passive Reference = ROX
* Post-read Stage/Step = Stage 3, Step 1
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	SNP Assay Name	SNP Assay Color	Task	Allele1 Name	Allele1 Color	Allele1 Reporter	Allele1 Quencher	Allele2 Name	Allele2 Color	Allele2 Reporter	Allele2 Quencher	Comments
49	E1	cg25542041_Unmethylated	"RGB(128,255,255)"	cg25542041	"RGB(51,161,201)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
50	E2	cg02227036_Unmethylated	"RGB(128,255,255)"	cg02227036	"RGB(51,161,201)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(176,23,31)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
51	E3	cg10333416_Unmethylated	"RGB(255,128,128)"	cg10333416	"RGB(176,23,31)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
52	E4	cg12925355_Unmethylated	"RGB(255,128,128)"	cg12925355	"RGB(176,23,31)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(51,161,201)"	VIC	NFQ-MGB	
53	E5	cg18849583_Unmethylated	"RGB(128,0,255)"	cg18849583	"RGB(142,56,142)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
54	E6	cg01268345_Unmethylated	"RGB(128,0,255)"	cg01268345	"RGB(142,56,142)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
55	E7														
56	E8														
57	E9														
58	E10														
59	E11														
60	E12														
61	F1	cg25542041_Unmethylated	"RGB(128,255,255)"	cg25542041	"RGB(51,161,201)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
62	F2	cg02227036_Unmethylated	"RGB(128,255,255)"	cg02227036	"RGB(51,161,201)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(176,23,31)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
63	F3	cg10333416_Unmethylated	"RGB(255,128,128)"	cg10333416	"RGB(176,23,31)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
64	F4	cg12925355_Unmethylated	"RGB(255,128,128)"	cg12925355	"RGB(176,23,31)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(51,161,201)"	VIC	NFQ-MGB	
65	F5	cg18849583_Unmethylated	"RGB(128,0,255)"	cg18849583	"RGB(142,56,142)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
66	F6	cg01268345_Unmethylated	"RGB(128,0,255)"	cg01268345	"RGB(142,56,142)"	PC_ALLELE_2	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
67	F7														
68	F8														
69	F9														
70	F10														
71	F11														
72	F12														
73	G1	cg25542041_Methylated	"RGB(128,255,255)"	cg25542041	"RGB(51,161,201)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
74	G2	cg02227036_Methylated	"RGB(128,255,255)"	cg02227036	"RGB(51,161,201)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(176,23,31)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
